card_number,expiry_month,expiry_year,cvv
4000008468359018,11,2033,166
5301254947023618,01,2026,620
5200825777639037,12,2029,766
2223004404035619,01,2033,105
4242422074876760,07,2030,609
4111116697145748,08,2029,432
5200829548670248,10,2028,632
4000006448587112,06,2030,137
5200829304787772,06,2032,412
5301255005918979,03,2027,703
370000037880392,06,2028,8284
4111118525699748,05,2029,163
5105108478873197,05,2032,325
4111110511120318,01,2032,740
4111117057443798,02,2030,791
5200829628121518,04,2031,379
5200827744470348,07,2028,332
4242427234339302,03,2026,025
4012889167591761,06,2026,254
5105102775163410,03,2033,227
5105100174537085,12,2031,006
4111111133328743,11,2033,316
340000632275532,08,2028,5592
5200824625485941,09,2026,010
4000008317808165,09,2030,995
5301257629591752,07,2031,773
4012887538203470,06,2033,744
4242424227489582,06,2026,522
370000358446443,04,2026,7760
370000078828086,08,2029,1001
4012887921808141,12,2027,858
370000995914480,08,2031,5364
4012888253968644,12,2030,965
370000683179586,11,2029,0529
370000920188317,02,2032,5583
2223005541913642,10,2030,754
370000116052855,06,2026,1076
5200825517379407,09,2032,629
370000593897905,04,2033,4442
5200826410244011,02,2026,471
5105103512375390,12,2031,919
4000004185697459,04,2031,381
4111118396556928,07,2030,145
370000050672965,11,2032,9852
5105107654094115,05,2026,954
4242428318515676,12,2033,033
4012885153738754,02,2029,356
340000362336405,06,2028,9637
370000091028961,09,2033,4309
4111110042165204,01,2033,432
340000914478978,11,2033,3120
4242422110722283,02,2029,010
2223002303661121,07,2029,673
340000004809306,07,2032,2499
2223000107777069,07,2030,440
370000946193754,09,2032,2707
340000973275422,07,2027,7282
2223009402855009,03,2030,807
4012887700082595,02,2033,236
4242428634405875,02,2031,901
5105106170444986,05,2029,810
4242426505920006,02,2031,978
4111117337059927,07,2032,182
2223008114646839,07,2029,661
4111118193250915,08,2031,493
5301257485627351,03,2029,762
5105101716701551,07,2028,101
4000008705512072,10,2027,428
4012885684984372,07,2030,298
4242421614641353,04,2028,595
340000800948332,07,2030,7745
4012887014321309,09,2033,768
370000983056849,02,2033,6166
5105101955602569,10,2033,667
5200824614529386,11,2026,199
5301253465892271,11,2030,009
370000488054679,05,2027,1411
4000000308035460,03,2026,030
4242423035183809,11,2027,599
340000990618950,08,2030,5959
4000009487955414,11,2027,341
4012882034152701,07,2027,765
5301258564975422,06,2028,634
5200824257898098,12,2030,773
4242426471119997,04,2026,651
340000047687768,06,2033,8256
4012881613176701,03,2026,452
370000731914463,05,2032,3988
4000006140568089,06,2032,685
4000008771009110,01,2030,675
340000675739980,06,2026,6607
340000161494462,12,2028,9355
2223000888506976,03,2029,549
4242421103224380,07,2031,772
370000314715972,07,2028,8569
5301253356806513,05,2027,031
4242422257886818,04,2029,036
5301256104949980,10,2031,720
370000425992007,06,2028,0526
2223007314591159,12,2031,375
340000459351804,09,2030,0935
370000746253212,06,2029,1455
4012880114315354,05,2033,637
4000003865650408,03,2027,529
4012889271266714,11,2030,290
2223008759389190,06,2029,625
4111116019512252,03,2027,193
340000805345708,07,2033,1398
4012881922466496,12,2026,033
370000497995722,06,2028,2009
2223003281301714,05,2030,675
370000504873862,02,2028,6077
370000984890675,03,2026,4421
4242423390694655,03,2033,517
340000532168290,03,2033,3057
5301250190239547,06,2032,403
4000001694354002,07,2030,502
4111110340206148,02,2029,840
340000096668271,04,2027,7787
4012881392981008,05,2033,741
370000524130681,10,2032,3712
5200823369771060,09,2028,286
4111117408613826,09,2032,804
2223005147799072,04,2030,580
340000824569254,03,2029,8012
5301251370665345,10,2030,392
2223002774143195,07,2026,192
4012881143968106,05,2027,637
5105100775693956,05,2029,255
5200822465232365,11,2029,165
4012887574289763,05,2033,533
5105103073615598,02,2029,510
4000009291939778,04,2026,728
4000002140996776,08,2031,538
370000934568017,07,2026,9166
4000007918378826,10,2029,339
5105109444684817,01,2030,214
5301252341401901,07,2032,011
340000177962841,06,2029,0872
5301252918360324,04,2033,029
4012885513198723,10,2030,666
4242427308482442,07,2026,811
370000530396417,08,2027,5278
5105108994277444,01,2028,136
5301257315167875,07,2031,914
340000128490256,02,2029,9640
340000159292415,08,2033,7571
